,SalePrice,GrLivArea,OverallQual,OverallCond,YrSold,LotArea,YearBuilt,YearRemodAdd,GarageArea,GarageCars,Fireplaces
0,208500,1710,7,5,2008,8450,2003,2003,548,2,0
1,181500,1262,6,8,2007,9600,1976,1976,460,2,1
2,223500,1786,7,5,2008,11250,2001,2002,608,2,1
3,140000,1717,7,5,2006,9550,1915,1970,642,3,1
4,250000,2198,8,5,2008,14260,2000,2000,836,3,1
5,143000,1362,5,5,2009,14115,1993,1995,480,2,0
6,307000,1694,8,5,2007,10084,2004,2005,636,2,1
7,200000,2090,7,6,2009,10382,1973,1973,484,2,2
8,129900,1774,7,5,2008,6120,1931,1950,468,2,2
9,118000,1077,5,6,2008,7420,1939,1950,205,1,2
10,129500,1040,5,5,2008,11200,1965,1965,384,1,0
11,345000,2324,9,5,2006,11924,2005,2006,736,3,2
12,144000,912,5,6,2008,12968,1962,1962,352,1,0
13,279500,1494,7,5,2007,10652,2006,2007,840,3,1
14,157000,1253,6,5,2008,10920,1960,1960,352,1,1
15,132000,854,7,8,2007,6120,1929,2001,576,2,0
16,149000,1004,6,7,2010,11241,1970,1970,480,2,1
17,90000,1296,4,5,2006,10791,1967,1967,516,2,0
18,159000,1114,5,5,2008,13695,2004,2004,576,2,0
19,139000,1339,5,6,2009,7560,1958,1965,294,1,0
20,325300,2376,8,5,2006,14215,2005,2006,853,3,1
21,139400,1108,7,7,2007,7449,1930,1950,280,1,1
22,230000,1795,8,5,2008,9742,2002,2002,534,2,1
23,129900,1060,5,7,2007,4224,1976,1976,572,2,1
24,154000,1060,5,8,2010,8246,1968,2001,270,1,1
25,256300,1600,8,5,2009,14230,2007,2007,890,3,1
26,134800,900,5,7,2010,7200,1951,2000,576,2,0
27,306000,1704,8,5,2010,11478,2007,2008,772,3,1
28,207500,1600,5,6,2006,16321,1957,1997,319,1,2
29,68500,520,4,6,2008,6324,1927,1950,240,1,0
30,40000,1317,4,4,2008,8500,1920,1950,250,1,0
31,149350,1228,5,6,2008,8544,1966,2006,271,1,0
32,179900,1234,8,5,2008,11049,2007,2007,484,2,0
33,165500,1700,5,5,2010,10552,1959,1959,447,2,1
34,277500,1561,9,5,2007,7313,2005,2005,556,2,1
35,309000,2452,8,5,2006,13418,2004,2005,691,3,1
36,145000,1097,5,5,2009,10859,1994,1995,672,2,0
37,153000,1297,5,6,2009,8532,1954,1990,498,2,1
38,109000,1057,5,7,2010,7922,1953,2007,246,1,0
39,82000,1152,4,5,2008,6040,1955,1955,0,0,0
40,160000,1324,6,5,2006,8658,1965,1965,440,2,1
41,170000,1328,5,6,2007,16905,1959,1959,308,1,2
42,144000,884,5,7,2007,9180,1983,1983,504,2,0
43,130250,938,5,6,2008,9200,1975,1980,308,1,0
44,141000,1150,5,6,2006,7945,1959,1959,300,1,0
45,319900,1752,9,5,2010,7658,2005,2005,576,2,1
46,239686,2149,7,5,2009,12822,2003,2003,670,2,1
47,249700,1656,8,5,2007,11096,2006,2006,826,3,0
48,113000,1452,4,5,2009,4456,1920,2008,0,0,0
49,127000,955,5,7,2007,7742,1966,1966,386,1,0
50,177000,1470,6,6,2007,13869,1997,1997,388,2,0
51,114500,1176,6,6,2006,6240,1934,1950,528,2,1
52,110000,816,5,5,2010,8472,1963,1963,516,2,0
