,SalePrice,GrLivArea,SalePrice,Line,SubSquared,GrLivArea2,SalePrice,Line,SubSquared,OverallQual,OverallCond,YrSold,LotArea,YearBuilt,YearRemodAdd,GarageArea,GarageCars,Fireplaces,1-STD,2-STD,3-STD,,
0,208500,1710,208500,201761.3,45410077.69,41.35214626,208500,206745.3885,3078661.563,7,5,2008,8450,2003,2003,548,2,0,FALSE,FALSE,FALSE,,
1,181500,1262,181500,153767.06,769115961,35.52463934,181500,155948.1762,652895701,6,8,2007,9600,1976,1976,460,2,1,FALSE,FALSE,FALSE,,56034.30387
2,223500,1786,223500,209903.18,184873514.1,42.26109322,223500,214668.4974,77995438.8,7,5,2008,11250,2001,2002,608,2,1,FALSE,FALSE,FALSE,,56023.13075
3,140000,1717,140000,202511.21,3907651376,41.43669871,140000,207482.4153,4553876377,7,5,2006,9550,1915,1970,642,3,1,FALSE,FALSE,FALSE,,
4,250000,2198,250000,254040.74,16327579.75,46.88283268,250000,254955.2759,24554759.2,8,5,2008,14260,2000,2000,836,3,1,TRUE,FALSE,FALSE,,
5,143000,1362,143000,164480.06,461392977.6,36.90528417,143000,167982.9811,624149344.3,5,5,2009,14115,1993,1995,480,2,0,FALSE,FALSE,FALSE,,
6,307000,1694,307000,200047.22,11438897150,41.15823125,307000,205055.0702,10392768712,8,5,2007,10084,2004,2005,636,2,1,FALSE,FALSE,FALSE,,
7,200000,2090,200000,242470.7,1803760358,45.7165178,200000,244788.7424,2006031444,7,6,2009,10382,1973,1973,484,2,2,FALSE,FALSE,FALSE,,
8,129900,1774,129900,208617.62,6196463698,42.11887938,129900,213428.8478,6977068407,7,5,2008,6120,1931,1950,468,2,2,FALSE,FALSE,FALSE,,
9,118000,1077,118000,133948.01,254339023,32.81767816,118000,132352.137,205983836.8,5,6,2008,7420,1939,1950,205,1,2,TRUE,FALSE,FALSE,,
10,129500,1040,129500,129984.2,234449.64,32.24903099,129500,127395.3534,4429537.473,5,5,2008,11200,1965,1965,384,1,0,FALSE,FALSE,FALSE,,
11,345000,2324,345000,267539.12,6000187930,48.20788317,345000,266505.476,6161390292,9,5,2006,11924,2005,2006,736,3,2,TRUE,FALSE,FALSE,,
12,144000,912,144000,116271.56,768866384.8,30.19933774,144000,109528.5872,1188278299,5,6,2008,12968,1962,1962,352,1,0,FALSE,FALSE,FALSE,,
13,279500,1494,279500,178621.22,10176528254,38.65229618,279500,183211.3353,9271506941,7,5,2007,10652,2006,2007,840,3,1,TRUE,FALSE,FALSE,,
14,157000,1253,157000,152802.89,17615732.35,35.39774004,157000,154842.0204,4656876.005,6,5,2008,10920,1960,1960,352,1,1,FALSE,FALSE,FALSE,,
15,132000,854,132000,110058.02,481450486.3,29.22327839,132000,101020.4731,959731087.5,7,8,2007,6120,1929,2001,576,2,0,FALSE,FALSE,FALSE,,
